Channel,Count,Energy (keV)
949,404,-823.4372533543807
950,394,-823.1357537490137
951,352,-822.8342541436466
952,385,-822.5327545382796
953,343,-822.2312549329126
954,378,-821.9297553275456
955,377,-821.6282557221787
956,376,-821.3267561168116
957,367,-821.0252565114446
958,350,-820.7237569060776
959,377,-820.4222573007105
960,397,-820.1207576953436
961,376,-819.8192580899765
962,354,-819.5177584846095
963,370,-819.2162588792426
964,343,-818.9147592738755
965,354,-818.6132596685086
966,396,-818.3117600631415
967,345,-818.0102604577745
968,345,-817.7087608524075
969,329,-817.4072612470404
970,333,-817.1057616416736
971,355,-816.8042620363065
972,344,-816.5027624309395
973,332,-816.2012628255725
974,364,-815.8997632202054
975,338,-815.5982636148385
976,329,-815.2967640094714
977,350,-814.9952644041044
978,318,-814.6937647987374
979,352,-814.3922651933703
980,327,-814.0907655880035
981,367,-813.7892659826364
982,321,-813.4877663772694
983,307,-813.1862667719024
984,319,-812.8847671665353
985,359,-812.5832675611683
986,303,-812.2817679558013
987,363,-811.9802683504344
988,351,-811.6787687450674
989,339,-811.3772691397003
990,343,-811.0757695343333
991,332,-810.7742699289663
992,320,-810.4727703235993
993,301,-810.1712707182323
994,359,-809.8697711128652
995,321,-809.5682715074983
996,310,-809.2667719021313
997,331,-808.9652722967642
998,314,-808.6637726913973
999,323,-808.3622730860302
1000,301,-808.0607734806632
1001,309,-807.7592738752962
1002,269,-807.4577742699291
1003,306,-807.1562746645623
1004,326,-806.8547750591952
1005,336,-806.5532754538282
1006,324,-806.2517758484612
1007,282,-805.9502762430941
1008,304,-805.6487766377272
1009,306,-805.3472770323601
1010,334,-805.0457774269931
1011,303,-804.7442778216262
1012,301,-804.4427782162591
1013,304,-804.1412786108922
1014,324,-803.8397790055251
1015,296,-803.5382794001581
1016,296,-803.2367797947911
1017,295,-802.935280189424
1018,306,-802.6337805840571
1019,301,-802.33228097869
1020,266,-802.0307813733231
1021,314,-801.7292817679561
1022,289,-801.427782162589
1023,275,-801.126282557222
1024,296,-800.824782951855
1025,262,-800.523283346488
1026,274,-800.221783741121
1027,290,-799.920284135754
1028,278,-799.618784530387
1029,278,-799.31728492502
1030,269,-799.0157853196529
1031,285,-798.714285714286
1032,258,-798.4127861089189
1033,285,-798.1112865035519
1034,265,-797.8097868981849
1035,278,-797.5082872928178
1036,244,-797.206787687451
1037,290,-796.9052880820839
1038,283,-796.6037884767169
1039,298,-796.3022888713499
1040,245,-796.0007892659828
1041,281,-795.6992896606159
1042,260,-795.3977900552488
1043,270,-795.0962904498818
1044,262,-794.7947908445149
1045,258,-794.4932912391478
1046,265,-794.1917916337809
1047,289,-793.8902920284138
1048,235,-793.5887924230468
